title,role,location,experience,skills,apply_id
EPM Consultant (PBCS/EPBCS) - on Contract only - 3rd party payrolls,EPM Consultant (PBCS/EPBCS) - on Contract only - 3rd party payrolls,India,,,340188
Financial Analyst 3,Financial Analyst 3,"BENGALURU, KARNATAKA, India",,,340569
Principal Financial Systems Analyst,Principal Financial Systems Analyst,"BENGALURU, KARNATAKA, India",,,340618
Software Development Snr Manager,Software Development Snr Manager,"BENGALURU, KARNATAKA, India",,,335077
"Software Developer 3, Oracle Health","Software Developer 3, Oracle Health",India,,,336800
"Senior Manager, Application Software Engineering","Senior Manager, Application Software Engineering","BENGALURU, KARNATAKA, India",,,337888
Senior Core Infrastructure Engineer,Senior Core Infrastructure Engineer,India,,,339795
EPM Consultant (ARCS),EPM Consultant (ARCS),India,,,340178
EPM Consultant (FCCS) Contractor Role,EPM Consultant (FCCS) Contractor Role,India,,,340180
EPM Consultant (PBCS),EPM Consultant (PBCS),India,,,340185
Senior Principal Forward Deployed Engineer,Senior Principal Forward Deployed Engineer,"HYDERABAD, TELANGANA, India",,,340293
Oracle SOA Developer,Oracle SOA Developer,"DELHI, India",,,340296
Multi-Cloud Solutions Architect,Multi-Cloud Solutions Architect,"CHENNAI, TAMIL NADU, India",,,340301
Oracle ERP Fusion Finance implementation Consultant,Oracle ERP Fusion Finance implementation Consultant,India,,,340307
Oracle ERP Fusion Finance implementation Consultant,Oracle ERP Fusion Finance implementation Consultant,India,,,340310
Oracle ERP Fusion Finance implementation Consultant,Oracle ERP Fusion Finance implementation Consultant,India,,,340312
Oracle ERP Fusion Finance implementation Consultant,Oracle ERP Fusion Finance implementation Consultant,India,,,340311
Oracle ERP Fusion PPM implementation Consultant,Oracle ERP Fusion PPM implementation Consultant,India,,,340313
Senior Principal Forward Deployed Engineer,Senior Principal Forward Deployed Engineer,"HYDERABAD, TELANGANA, India",,,340319
Senior Principal Forward Deployed Engineer,Senior Principal Forward Deployed Engineer,"MUMBAI, MAHARASHTRA, India",,,340320
HCM Cloud Functional (Contractor Role),HCM Cloud Functional (Contractor Role),"BENGALURU, KARNATAKA, India",,,340328
HCM Cloud Functional (Contractor Role),HCM Cloud Functional (Contractor Role),"BENGALURU, KARNATAKA, India",,,340330
HCM Cloud Functional (Contractor Role),HCM Cloud Functional (Contractor Role),"BENGALURU, KARNATAKA, India",,,340332
HCM Cloud Functional (Contractor Role),HCM Cloud Functional (Contractor Role),"BENGALURU, KARNATAKA, India",,,340333
HCM Cloud Functional (Contractor role),HCM Cloud Functional (Contractor role),"BENGALURU, KARNATAKA, India",,,340334
Senior Financial Analyst,Senior Financial Analyst,"BENGALURU, KARNATAKA, India",,,340338
Principal Technical Account Manager,Principal Technical Account Manager,"BENGALURU, KARNATAKA, India",,,340433
Oracle Fusion ERP Functional Consultant-Finance,Oracle Fusion ERP Functional Consultant-Finance,"BENGALURU, KARNATAKA, India",,,340287
Oracle Fusion Functional Lead – Projects & Financials,Oracle Fusion Functional Lead – Projects & Financials,"BENGALURU, KARNATAKA, India",,,340289
Oracle Fusion ERP Lease Accounting Functional Consultant,Oracle Fusion ERP Lease Accounting Functional Consultant,"BENGALURU, KARNATAKA, India",,,340288
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,"HYDERABAD, TELANGANA, India",,,335139
Cloud Data Platform Sales Representative,Cloud Data Platform Sales Representative,India,,,335713
Senior Cloud Operations Engineer,Senior Cloud Operations Engineer,India,,,336125
Senior Optical DC Engineer,Senior Optical DC Engineer,"BENGALURU, KARNATAKA, India",,,336147
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,336251
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,India,,,338097
Senior AI/ML Engineer – Generative AI,Senior AI/ML Engineer – Generative AI,India,,,339345
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,340227
Lead Principal Platform Software Engineer,Lead Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,340230
Principal Application Software Engineer,Principal Application Software Engineer,India,,,340251
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,340263
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,334136
Software Developer 3,Software Developer 3,India,,,336823
"Senior Specialist, Oracle Giving & CSR, India","Senior Specialist, Oracle Giving & CSR, India","BENGALURU, KARNATAKA, India",,,336950
"Senior Manager, Systems Engineering","Senior Manager, Systems Engineering","BENGALURU, KARNATAKA, India",,,338626
"Director, Platform Software Engineering","Director, Platform Software Engineering","BENGALURU, KARNATAKA, India",,,339508
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,339980
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"HYDERABAD, TELANGANA, India",,,340029
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,340044
Senior Application Software Engineer,Senior Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337861
Senior Advanced Services Engineer,Senior Advanced Services Engineer,"BENGALURU, KARNATAKA, India",,,339929
Senior Principal NetSuite Functional Consultant,Senior Principal NetSuite Functional Consultant,"HYDERABAD, TELANGANA, India",,,339821
Network Developer 3,Network Developer 3,"BENGALURU, KARNATAKA, India",,,334651
"Software Developer 3, Oracle Health","Software Developer 3, Oracle Health",India,,,336804
"Senior Manager, Core Infrastructure Engineering","Senior Manager, Core Infrastructure Engineering",India,,,339721
Senior Principal NetSuite Functional Consultant,Senior Principal NetSuite Functional Consultant,"HYDERABAD, TELANGANA, India",,,337723
Software Developer 4,Software Developer 4,India,,,336832
Software Developer 3,Software Developer 3,India,,,336857
Oracle Fusion ERP Lease Accounting Functional Consultant,Oracle Fusion ERP Lease Accounting Functional Consultant,"HYDERABAD, TELANGANA, India",,,339696
Principal Platform Software Engineer,Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,339600
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,339602
Senior Site Reliability Engineer,Senior Site Reliability Engineer,"BENGALURU, KARNATAKA, India",,,338806
Commercial Manager,Commercial Manager,"MUMBAI, MAHARASHTRA, India",,,339240
Oracle Linux & Virtualization Sales Specialist,Oracle Linux & Virtualization Sales Specialist,"NOIDA, UTTAR PRADESH, India",,,339471
Principal Platform Software Engineer,Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,339572
Software Development Manager,Software Development Manager,India,,,335105
Software Development Snr Manager,Software Development Snr Manager,"BENGALURU, KARNATAKA, India",,,335784
Oracle Fusion ERP Lease Accounting Functional Consultant,Oracle Fusion ERP Lease Accounting Functional Consultant,"BENGALURU, KARNATAKA, India",,,337067
Applied Scientist 3,Applied Scientist 3,"BENGALURU, KARNATAKA, India",,,336546
Senior Sales Manager,Senior Sales Manager,"MUMBAI, MAHARASHTRA, India",,,338794
Advanced Services Engineer 2,Advanced Services Engineer 2,"BENGALURU, KARNATAKA, India",,,339182
Applications Sales Representative IV,Applications Sales Representative IV,"MUMBAI, MAHARASHTRA, India",,,339007
Network Developer 3,Network Developer 3,"BENGALURU, KARNATAKA, India",,,328076
Senior Member of Technical Staff,Senior Member of Technical Staff,"BENGALURU, KARNATAKA, India",,,335682
Integration Architect,Integration Architect,"BENGALURU, KARNATAKA, India",,,338869
System Architect,System Architect,"BENGALURU, KARNATAKA, India",,,338870
Technical Oracle Health (Millennium) Project Manager,Technical Oracle Health (Millennium) Project Manager,"BENGALURU, KARNATAKA, India",,,338863
Principal OCI Cloud Automation & Orchestration Engineer (DevOps),Principal OCI Cloud Automation & Orchestration Engineer (DevOps),"BENGALURU, KARNATAKA, India",,,338792
Software Developer 4 (Fullstack),Software Developer 4 (Fullstack),"BENGALURU, KARNATAKA, India",,,335817
Cloud Data Platform Sales - Oil & Gas- Public Sector,Cloud Data Platform Sales - Oil & Gas- Public Sector,"MUMBAI, MAHARASHTRA, India",,,332942
Software Development Snr Manager,Software Development Snr Manager,India,,,336414
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,338025
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,338650
Oracle Health Millennium Support & Migration Engineer,Oracle Health Millennium Support & Migration Engineer,"BENGALURU, KARNATAKA, India",,,338654
Oracle Health Millennium Support & Migration Engineer,Oracle Health Millennium Support & Migration Engineer,"BENGALURU, KARNATAKA, India",,,338657
"Senior Manager, Core Infrastructure Engineering","Senior Manager, Core Infrastructure Engineering","BENGALURU, KARNATAKA, India",,,338491
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,338537
Senior Core Infrastructure Engineer,Senior Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,338541
Program Manager 4-ProdDev,Program Manager 4-ProdDev,"BENGALURU, KARNATAKA, India",,,335458
Principal Data Engineer,Principal Data Engineer,"BENGALURU, KARNATAKA, India",,,334930
Core Infrastructure Engineer 3,Core Infrastructure Engineer 3,"BENGALURU, KARNATAKA, India",,,338129
Data Systems Software Engineer 2,Data Systems Software Engineer 2,"BENGALURU, KARNATAKA, India",,,338133
Advanced Services Engineer 2,Advanced Services Engineer 2,"BENGALURU, KARNATAKA, India",,,338136
Product Manager/Strategy 3-ProdDev,Product Manager/Strategy 3-ProdDev,India,,,336693
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337884
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337954
Lead Principal Application Software Engineer,Lead Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337959
"Software Developer 3, Oracle Health","Software Developer 3, Oracle Health","BENGALURU, KARNATAKA, India",,,336283
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,336522
Software Developer 4 (Data Engineering with Java/Python),Software Developer 4 (Data Engineering with Java/Python),India,,,336273
"Senior Platform Software Engineer, Oracle Health","Senior Platform Software Engineer, Oracle Health",India,,,337424
Software Development Snr Manager,Software Development Snr Manager,"BENGALURU, KARNATAKA, India",,,337474
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,337477
Software Development Director,Software Development Director,"BENGALURU, KARNATAKA, India",,,337589
Software Developer 5,Software Developer 5,"BENGALURU, KARNATAKA, India",,,334517
Software Developer 3 - Golang,Software Developer 3 - Golang,India,,,336143
Oracle Fusion ERP Functional Consultant-Finance,Oracle Fusion ERP Functional Consultant-Finance,"BENGALURU, KARNATAKA, India",,,336949
Oracle Fusion Functional Lead – Projects & Financials,Oracle Fusion Functional Lead – Projects & Financials,"BENGALURU, KARNATAKA, India",,,337053
Fusion ERP Reporting & Analytics Technical Consultant,Fusion ERP Reporting & Analytics Technical Consultant,"BENGALURU, KARNATAKA, India",,,337066
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337411
"Senior Platform Software Engineer, Oracle Health","Senior Platform Software Engineer, Oracle Health",India,,,337430
Credit & Collections Analyst 2-Fin,Credit & Collections Analyst 2-Fin,"BENGALURU, KARNATAKA, India",,,330865
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337230
"Senior Platform Software Engineer, Oracle Health","Senior Platform Software Engineer, Oracle Health",India,,,337232
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337237
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337236
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337238
"Senior Platform Software Engineer, Oracle Health","Senior Platform Software Engineer, Oracle Health",India,,,337242
"Senior Platform Software Engineer, Oracle Health","Senior Platform Software Engineer, Oracle Health",India,,,337247
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,337253
Senior Full Stack Developer,Senior Full Stack Developer,Mexico,,,337119
Software Development Snr Manager,Software Development Snr Manager,"BENGALURU, KARNATAKA, India",,,335179
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,"HYDERABAD, TELANGANA, India",,,336980
"Software Architect, OCI Networking","Software Architect, OCI Networking","BENGALURU, KARNATAKA, India",,,335835
"Architect, Networking - IDC","Architect, Networking - IDC",India,,,327846
Principal Database Performance Engineer,Principal Database Performance Engineer,"NOIDA, UTTAR PRADESH, India",,,335238
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,334978
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,334977
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,334975
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,334976
